Households_with_Internet,Households_with_Computer,Age_Group_0_29,Households_with_Car_Jeep_Van,Households_with_Telephone_Mobile_Phone,LR
126341,273651,3952858,174812,1196482,0.753478024
2975,15309,1033435,10088,246026,0.622698814
21785,67370,2080568,55289,651936,0.716260864
11573,30384,1220598,20471,331968,0.646507901
1653,5639,314886,4395,92715,0.672437736
6628,26991,1527888,17447,406578,0.671805655
2538,12765,836343,10236,222389,0.657420139
7297,28925,1708938,17517,400446,0.655213836
9902,32523,1134962,19352,244185,0.741252757
5710,24502,1260660,12788,218734,0.721880877
3456,19753,1421859,9656,214889,0.602651608
1733,13497,1402616,5222,152144,0.473498016
53606,117818,2213474,72630,583926,0.694512661
576,4081,336830,2442,43827,0.627372323
10257,29531,844298,21579,215142,0.720994391
137,1393,146095,991,11148,0.617492586
6726,24397,673014,18669,191691,0.753500863
11020,31285,944532,23938,242422,0.686329424
55694,149331,3563443,106983,995637,0.751713197
1601,7567,422047,5534,75676,0.607215169
368,1055,30475,398,9001,0.730844567
1316,4543,122589,3163,43171,0.786449969
2013,6017,225103,4136,45973,0.649473828
2579,17047,1011352,6135,101758,0.549967694
6065,27139,1167569,10912,210557,0.630913245
14297,56775,2352671,19560,459652,0.683673462
4767,24877,1467457,10034,293299,0.72687025
6163,24232,998769,9037,195210,0.778034253
1875,10757,682919,3623,125662,0.726650573
9438,36185,1540590,15285,295756,0.779614983
4313,16260,659540,6970,166398,0.78373184
57964,135750,2460820,71592,719955,0.789460135
2932,13165,626978,5184,131424,0.749674674
2866,13595,704214,5074,123673,0.759347966
1663,11064,605217,3098,73787,0.660208101
8239,31419,1163802,12746,250418,0.716150246
6094,29917,1549263,12132,279184,0.729552711
7548,43055,2008314,12341,384823,0.651364118
1221,9676,692117,3833,134812,0.671632359
3982,21196,1078349,6973,224888,0.63058811
3791,17236,1150104,8400,255420,0.610257748
23258,69937,2211996,33322,526483,0.676478312
45039,138887,3580633,79590,798663,0.711516775
256170,551643,6184519,172210,2011713,0.743856321
404757,652946,4936360,259702,1918659,0.809609465
121344,204234,1553005,80168,602209,0.813188907
38570,96301,1414154,43536,453122,0.736464202
235018,490260,5184734,273326,1792197,0.760569805
18370,68902,2496560,41423,639160,0.693766166
5614,29198,1473882,12836,346380,0.664787012
6217,29758,1406364,13150,302745,0.672591757
3209,18183,917343,7974,200323,0.686430064
15145,59296,2402794,28219,576726,0.674117759
14093,57423,1517324,36046,463058,0.740974005
7752,31062,777431,15191,258015,0.742625857
3517,15721,382024,9264,131855,0.783930108
22269,71879,1972486,49081,595768,0.729061989
13212,49056,1450907,29515,415009,0.72620948
5512,45202,1536378,8338,403530,0.541122828
5261,35036,1399773,10088,428744,0.544738343
8831,46584,1940234,14175,691495,0.584394014
8635,47170,1735769,14362,482440,0.539723561
149034,274653,2249130,124106,799174,0.733430916
142879,291745,2966988,125225,1094233,0.667963187
6153,60812,2360874,12615,570261,0.478813865
7715,53777,1932349,18927,588791,0.573553611
12952,59006,1891954,15727,568508,0.587894184
8628,42171,1530602,11887,427722,0.58277382
3988,32280,1423119,5264,332230,0.553206783
4453,24128,1206366,5002,265587,0.528215711
45492,124729,2274553,46469,657824,0.598577258
22411,93784,2724328,25381,732492,0.638026415
12050,55613,2051513,14687,578252,0.673713972
30438,101450,2340943,27969,743696,0.66625035
19383,80434,2583462,17424,733133,0.60567804
6151,43611,1832695,9071,494689,0.560548682
10201,39583,1574713,11661,443579,0.618239838
6667,39923,1553667,7558,439641,0.595588712
10081,56478,2368684,10622,572406,0.524776222
8606,48299,2189396,9915,581087,0.566252437
13763,67087,2148179,16296,632803,0.639155988
17560,73497,2669348,35104,641485,0.638545704
3745,26297,1123443,9726,234284,0.589184189
4987,36571,1295274,11722,284523,0.5733019
3971,36072,1018195,9724,187983,0.61214877
5200,33903,1196670,11104,242634,0.507965006
2135,15263,855430,6211,166636,0.582109042
3373,15625,601578,5205,128416,0.657708746
15013,49585,1017935,21127,266330,0.704736216
6129,21501,742281,13152,218382,0.752803602
2456,17819,904453,5681,194815,0.679392089
